表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,
公開日：,2022年6月21日,,,,,,,
,,,,,,,,
***,調査又は集計していないもの,,,,,,,
-,データが得られないもの,,,,,,,
X,数値が秘匿されているもの,,,,,,,
,,,,,,,,
,,,,/項目 コード,E9101,,E9106,
調査年 コード,調査年,地域 コード,地域,/項目,E9101_最終学歴人口（卒業者総数）【人】,注釈,E9106_最終学歴人口（大学・大学院）【人】,注釈
2010100000,2010年度,1100,北海道 札幌市,,1552253,,250223,
2010100000,2010年度,1101,北海道 札幌市 中央区,,183342,,42358,
2010100000,2010年度,1102,北海道 札幌市 北区,,219244,,33702,
2010100000,2010年度,1103,北海道 札幌市 東区,,207551,,27782,
2010100000,2010年度,1104,北海道 札幌市 白石区,,168370,,21053,
2010100000,2010年度,1105,北海道 札幌市 豊平区,,173226,,29931,
2010100000,2010年度,1106,北海道 札幌市 南区,,119945,,18300,
2010100000,2010年度,1107,北海道 札幌市 西区,,173730,,28372,
2010100000,2010年度,1108,北海道 札幌市 厚別区,,103669,,19124,
2010100000,2010年度,1109,北海道 札幌市 手稲区,,112080,,15725,
2010100000,2010年度,1110,北海道 札幌市 清田区,,91096,,13876,
2010100000,2010年度,1202,北海道 函館市,,232696,,21988,
2010100000,2010年度,1203,北海道 小樽市,,111107,,10884,
2010100000,2010年度,1204,北海道 旭川市,,287696,,30002,
2010100000,2010年度,1205,北海道 室蘭市,,77773,,7137,
2010100000,2010年度,1206,北海道 釧路市,,149571,,12564,
2010100000,2010年度,1207,北海道 帯広市,,137838,,13294,
2010100000,2010年度,1208,北海道 北見市,,102691,,9496,
2010100000,2010年度,1209,北海道 夕張市,,9894,,631,
2010100000,2010年度,1210,北海道 岩見沢市,,74488,,7614,
2010100000,2010年度,1211,北海道 網走市,,32964,,3217,
2010100000,2010年度,1212,北海道 留萌市,,20954,,1795,
2010100000,2010年度,1213,北海道 苫小牧市,,141212,,11873,
2010100000,2010年度,1214,北海道 稚内市,,33193,,2334,
2010100000,2010年度,1215,北海道 美唄市,,21871,,1455,
2010100000,2010年度,1216,北海道 芦別市,,14543,,808,
2010100000,2010年度,1217,北海道 江別市,,94722,,14437,
2010100000,2010年度,1218,北海道 赤平市,,11131,,489,
2010100000,2010年度,1219,北海道 紋別市,,21085,,1760,
2010100000,2010年度,1220,北海道 士別市,,18449,,1166,
2010100000,2010年度,1221,北海道 名寄市,,25067,,1912,
2010100000,2010年度,1222,北海道 三笠市,,9078,,436,
2010100000,2010年度,1223,北海道 根室市,,24489,,1510,
2010100000,2010年度,1224,北海道 千歳市,,73919,,7257,
2010100000,2010年度,1225,北海道 滝川市,,35878,,3010,
2010100000,2010年度,1226,北海道 砂川市,,16060,,1257,
2010100000,2010年度,1227,北海道 歌志内市,,3887,,140,
2010100000,2010年度,1228,北海道 深川市,,20112,,1609,
2010100000,2010年度,1229,北海道 富良野市,,20035,,1660,
2010100000,2010年度,1230,北海道 登別市,,42814,,3103,
2010100000,2010年度,1231,北海道 恵庭市,,53928,,5864,
2010100000,2010年度,1233,北海道 伊達市,,30385,,2857,
2010100000,2010年度,1234,北海道 北広島市,,47732,,7400,
2010100000,2010年度,1235,北海道 石狩市,,48101,,4931,
2010100000,2010年度,1236,北海道 北斗市,,38320,,2508,
2010100000,2010年度,1303,北海道 当別町,,14588,,1437,
2010100000,2010年度,1304,北海道 新篠津村,,2684,,146,
2010100000,2010年度,1331,北海道 松前町,,7706,,302,
2010100000,2010年度,1332,北海道 福島町,,4514,,121,
2010100000,2010年度,1333,北海道 知内町,,4258,,197,
2010100000,2010年度,1334,北海道 木古内町,,4692,,231,
2010100000,2010年度,1337,北海道 七飯町,,23486,,1955,
2010100000,2010年度,1343,北海道 鹿部町,,3965,,231,
2010100000,2010年度,1345,北海道 森町,,15074,,728,
2010100000,2010年度,1346,北海道 八雲町,,15868,,1062,
2010100000,2010年度,1347,北海道 長万部町,,5327,,300,
2010100000,2010年度,1361,北海道 江差町,,7686,,645,
2010100000,2010年度,1362,北海道 上ノ国町,,4581,,172,
2010100000,2010年度,1363,北海道 厚沢部町,,3807,,263,
2010100000,2010年度,1364,北海道 乙部町,,3762,,168,
2010100000,2010年度,1367,北海道 奥尻町,,2638,,154,
2010100000,2010年度,1370,北海道 今金町,,5260,,331,
2010100000,2010年度,1371,北海道 せたな町,,8313,,444,
2010100000,2010年度,1391,北海道 島牧村,,1561,,62,
2010100000,2010年度,1392,北海道 寿都町,,2994,,212,
2010100000,2010年度,1393,北海道 黒松内町,,2683,,255,
2010100000,2010年度,1394,北海道 蘭越町,,4444,,317,
2010100000,2010年度,1395,北海道 ニセコ町,,4037,,526,
2010100000,2010年度,1396,北海道 真狩村,,1840,,144,
2010100000,2010年度,1397,北海道 留寿都村,,1666,,163,
2010100000,2010年度,1398,北海道 喜茂別町,,2196,,179,
2010100000,2010年度,1399,北海道 京極町,,3286,,296,
2010100000,2010年度,1400,北海道 倶知安町,,12905,,1653,
2010100000,2010年度,1401,北海道 共和町,,5388,,441,
2010100000,2010年度,1402,北海道 岩内町,,12238,,815,
2010100000,2010年度,1403,北海道 泊村,,1565,,117,
2010100000,2010年度,1404,北海道 神恵内村,,1005,,61,
2010100000,2010年度,1405,北海道 積丹町,,2220,,116,
2010100000,2010年度,1406,北海道 古平町,,3231,,154,
2010100000,2010年度,1407,北海道 仁木町,,3191,,235,
2010100000,2010年度,1408,北海道 余市町,,17763,,1531,
2010100000,2010年度,1409,北海道 赤井川村,,1058,,121,
2010100000,2010年度,1423,北海道 南幌町,,7044,,604,
2010100000,2010年度,1424,北海道 奈井江町,,5240,,326,
2010100000,2010年度,1425,北海道 上砂川町,,3583,,110,
2010100000,2010年度,1427,北海道 由仁町,,5035,,284,
2010100000,2010年度,1428,北海道 長沼町,,9770,,794,
2010100000,2010年度,1429,北海道 栗山町,,11237,,836,
2010100000,2010年度,1430,北海道 月形町,,4299,,265,
2010100000,2010年度,1431,北海道 浦臼町,,1901,,99,
2010100000,2010年度,1432,北海道 新十津川町,,6120,,371,
2010100000,2010年度,1433,北海道 妹背牛町,,2983,,127,
2010100000,2010年度,1434,北海道 秩父別町,,2341,,140,
2010100000,2010年度,1436,北海道 雨竜町,,2442,,135,
2010100000,2010年度,1437,北海道 北竜町,,1886,,96,
2010100000,2010年度,1438,北海道 沼田町,,3081,,207,
2010100000,2010年度,1452,北海道 鷹栖町,,5898,,449,
2010100000,2010年度,1453,北海道 東神楽町,,7185,,723,
2010100000,2010年度,1454,北海道 当麻町,,6021,,343,
2010100000,2010年度,1455,北海道 比布町,,3503,,199,
2010100000,2010年度,1456,北海道 愛別町,,2874,,174,
2010100000,2010年度,1457,北海道 上川町,,3957,,305,
2010100000,2010年度,1458,北海道 東川町,,6326,,573,
2010100000,2010年度,1459,北海道 美瑛町,,9265,,711,
2010100000,2010年度,1460,北海道 上富良野町,,9464,,478,
2010100000,2010年度,1461,北海道 中富良野町,,4436,,287,
2010100000,2010年度,1462,北海道 南富良野町,,2385,,186,
2010100000,2010年度,1463,北海道 占冠村,,1219,,163,
2010100000,2010年度,1464,北海道 和寒町,,3315,,148,
2010100000,2010年度,1465,北海道 剣淵町,,3025,,145,
2010100000,2010年度,1468,北海道 下川町,,3257,,218,
2010100000,2010年度,1469,北海道 美深町,,4359,,337,
2010100000,2010年度,1470,北海道 音威子府村,,781,,94,
2010100000,2010年度,1471,北海道 中川町,,1682,,152,
2010100000,2010年度,1472,北海道 幌加内町,,1444,,105,
2010100000,2010年度,1481,北海道 増毛町,,4477,,269,
2010100000,2010年度,1482,北海道 小平町,,3163,,204,
2010100000,2010年度,1483,北海道 苫前町,,3107,,158,
2010100000,2010年度,1484,北海道 羽幌町,,6907,,414,
2010100000,2010年度,1485,北海道 初山別村,,1177,,69,
2010100000,2010年度,1486,北海道 遠別町,,2604,,147,
2010100000,2010年度,1487,北海道 天塩町,,3211,,269,
2010100000,2010年度,1511,北海道 猿払村,,2339,,200,
2010100000,2010年度,1512,北海道 浜頓別町,,3566,,261,
2010100000,2010年度,1513,北海道 中頓別町,,1695,,104,
2010100000,2010年度,1514,北海道 枝幸町,,7695,,478,
2010100000,2010年度,1516,北海道 豊富町,,3708,,235,
2010100000,2010年度,1517,北海道 礼文町,,2692,,146,
2010100000,2010年度,1518,北海道 利尻町,,2278,,149,
2010100000,2010年度,1519,北海道 利尻富士町,,2608,,139,
2010100000,2010年度,1520,北海道 幌延町,,2262,,290,
2010100000,2010年度,1543,北海道 美幌町,,17975,,1041,
2010100000,2010年度,1544,北海道 津別町,,4873,,268,
2010100000,2010年度,1545,北海道 斜里町,,11059,,871,
2010100000,2010年度,1546,北海道 清里町,,3842,,268,
2010100000,2010年度,1547,北海道 小清水町,,4570,,315,
2010100000,2010年度,1549,北海道 訓子府町,,4587,,313,
2010100000,2010年度,1550,北海道 置戸町,,2927,,211,
2010100000,2010年度,1552,北海道 佐呂間町,,5048,,340,
2010100000,2010年度,1555,北海道 遠軽町,,18742,,1340,
2010100000,2010年度,1559,北海道 湧別町,,8455,,510,
2010100000,2010年度,1560,北海道 滝上町,,2668,,238,
2010100000,2010年度,1561,北海道 興部町,,3626,,285,
2010100000,2010年度,1562,北海道 西興部村,,993,,87,
2010100000,2010年度,1563,北海道 雄武町,,4266,,264,
2010100000,2010年度,1564,北海道 大空町,,6562,,492,
2010100000,2010年度,1571,北海道 豊浦町,,3819,,289,
2010100000,2010年度,1575,北海道 壮瞥町,,2802,,225,
2010100000,2010年度,1578,北海道 白老町,,16606,,1008,
2010100000,2010年度,1581,北海道 厚真町,,4069,,373,
2010100000,2010年度,1584,北海道 洞爺湖町,,8746,,615,
2010100000,2010年度,1585,北海道 安平町,,7235,,584,
2010100000,2010年度,1586,北海道 むかわ町,,8225,,508,
2010100000,2010年度,1601,北海道 日高町,,11483,,896,
2010100000,2010年度,1602,北海道 平取町,,4691,,366,
2010100000,2010年度,1604,北海道 新冠町,,4840,,326,
2010100000,2010年度,1607,北海道 浦河町,,11976,,1188,
2010100000,2010年度,1608,北海道 様似町,,4369,,219,
2010100000,2010年度,1609,北海道 えりも町,,4462,,238,
2010100000,2010年度,1610,北海道 新ひだか町,,21269,,1537,
2010100000,2010年度,1631,北海道 音更町,,35899,,3161,
2010100000,2010年度,1632,北海道 士幌町,,5308,,454,
2010100000,2010年度,1633,北海道 上士幌町,,4345,,340,
2010100000,2010年度,1634,北海道 鹿追町,,4684,,407,
2010100000,2010年度,1635,北海道 新得町,,5667,,571,
2010100000,2010年度,1636,北海道 清水町,,8394,,702,
2010100000,2010年度,1637,北海道 芽室町,,15020,,1388,
2010100000,2010年度,1638,北海道 中札内村,,3181,,364,
2010100000,2010年度,1639,北海道 更別村,,2784,,247,
2010100000,2010年度,1641,北海道 大樹町,,5098,,397,
2010100000,2010年度,1642,北海道 広尾町,,6603,,485,
2010100000,2010年度,1643,北海道 幕別町,,21752,,1799,
2010100000,2010年度,1644,北海道 池田町,,6417,,534,
2010100000,2010年度,1645,北海道 豊頃町,,2911,,185,
2010100000,2010年度,1646,北海道 本別町,,6976,,449,
2010100000,2010年度,1647,北海道 足寄町,,6554,,448,
2010100000,2010年度,1648,北海道 陸別町,,2308,,135,
2010100000,2010年度,1649,北海道 浦幌町,,4717,,261,
2010100000,2010年度,1661,北海道 釧路町,,16620,,1008,
2010100000,2010年度,1662,北海道 厚岸町,,8919,,484,
2010100000,2010年度,1663,北海道 浜中町,,5423,,371,
2010100000,2010年度,1664,北海道 標茶町,,6872,,505,
2010100000,2010年度,1665,北海道 弟子屈町,,7061,,520,
2010100000,2010年度,1667,北海道 鶴居村,,2144,,250,
2010100000,2010年度,1668,北海道 白糠町,,7885,,409,
2010100000,2010年度,1691,北海道 別海町,,12815,,1018,
2010100000,2010年度,1692,北海道 中標津町,,19194,,1672,
2010100000,2010年度,1693,北海道 標津町,,4626,,361,
2010100000,2010年度,1694,北海道 羅臼町,,4865,,212,
2010100000,2010年度,2201,青森県 青森市,,243980,,29962,
2010100000,2010年度,2202,青森県 弘前市,,145869,,16777,
2010100000,2010年度,2203,青森県 八戸市,,192215,,20113,
2010100000,2010年度,2204,青森県 黒石市,,29471,,1969,
2010100000,2010年度,2205,青森県 五所川原市,,48191,,3386,
2010100000,2010年度,2206,青森県 十和田市,,53012,,4898,
2010100000,2010年度,2207,青森県 三沢市,,32780,,3390,
2010100000,2010年度,2208,青森県 むつ市,,50200,,3954,
2010100000,2010年度,2209,青森県 つがる市,,31268,,1285,
2010100000,2010年度,2210,青森県 平川市,,27943,,1498,
2010100000,2010年度,2301,青森県 平内町,,10436,,479,
2010100000,2010年度,2303,青森県 今別町,,2910,,84,
2010100000,2010年度,2304,青森県 蓬田村,,2795,,113,
2010100000,2010年度,2307,青森県 外ヶ浜町,,6253,,190,
2010100000,2010年度,2321,青森県 鰺ヶ沢町,,9775,,539,
2010100000,2010年度,2323,青森県 深浦町,,8429,,339,
2010100000,2010年度,2343,青森県 西目屋村,,1389,,74,
2010100000,2010年度,2361,青森県 藤崎町,,13175,,848,
2010100000,2010年度,2362,青森県 大鰐町,,9383,,513,
2010100000,2010年度,2367,青森県 田舎館村,,6814,,383,
2010100000,2010年度,2381,青森県 板柳町,,12681,,641,
2010100000,2010年度,2384,青森県 鶴田町,,11785,,441,
2010100000,2010年度,2387,青森県 中泊町,,10884,,247,
2010100000,2010年度,2401,青森県 野辺地町,,12005,,816,
2010100000,2010年度,2402,青森県 七戸町,,13912,,890,
2010100000,2010年度,2405,青森県 六戸町,,8500,,505,
2010100000,2010年度,2406,青森県 横浜町,,4122,,248,
2010100000,2010年度,2408,青森県 東北町,,15967,,733,
2010100000,2010年度,2411,青森県 六ヶ所村,,9233,,1080,
2010100000,2010年度,2412,青森県 おいらせ町,,19197,,1197,
2010100000,2010年度,2423,青森県 大間町,,5286,,325,
2010100000,2010年度,2424,青森県 東通村,,6200,,345,
2010100000,2010年度,2425,青森県 風間浦村,,2151,,100,
2010100000,2010年度,2426,青森県 佐井村,,2123,,71,
2010100000,2010年度,2441,青森県 三戸町,,9606,,546,
2010100000,2010年度,2442,青森県 五戸町,,15864,,906,
2010100000,2010年度,2443,青森県 田子町,,5265,,203,
2010100000,2010年度,2445,青森県 南部町,,16561,,956,
2010100000,2010年度,2446,青森県 階上町,,11349,,506,
2010100000,2010年度,2450,青森県 新郷村,,2511,,80,
2010100000,2010年度,3201,岩手県 盛岡市,,234172,,40195,
2010100000,2010年度,3202,岩手県 宮古市,,49568,,3557,
2010100000,2010年度,3203,岩手県 大船渡市,,33689,,2516,
2010100000,2010年度,3205,岩手県 花巻市,,83028,,7951,
2010100000,2010年度,3206,岩手県 北上市,,74459,,7809,
2010100000,2010年度,3207,岩手県 久慈市,,30028,,2081,
2010100000,2010年度,3208,岩手県 遠野市,,24803,,1462,
2010100000,2010年度,3209,岩手県 一関市,,105709,,8277,
2010100000,2010年度,3210,岩手県 陸前高田市,,19680,,1332,
2010100000,2010年度,3211,岩手県 釜石市,,33873,,2555,
2010100000,2010年度,3213,岩手県 二戸市,,24659,,1630,
2010100000,2010年度,3214,岩手県 八幡平市,,24338,,1258,
2010100000,2010年度,3215,岩手県 奥州市,,102755,,8005,
2010100000,2010年度,3216,岩手県 滝沢市,,41153,,4281,
2010100000,2010年度,3301,岩手県 雫石町,,15032,,950,
2010100000,2010年度,3302,岩手県 葛巻町,,6398,,248,
2010100000,2010年度,3303,岩手県 岩手町,,12546,,611,
2010100000,2010年度,3321,岩手県 紫波町,,26863,,2491,
2010100000,2010年度,3322,岩手県 矢巾町,,21062,,2449,
2010100000,2010年度,3366,岩手県 西和賀町,,5801,,284,
2010100000,2010年度,3381,岩手県 金ケ崎町,,13322,,963,
2010100000,2010年度,3402,岩手県 平泉町,,6989,,404,
2010100000,2010年度,3441,岩手県 住田町,,5372,,297,
2010100000,2010年度,3461,岩手県 大槌町,,12880,,578,
2010100000,2010年度,3482,岩手県 山田町,,15579,,692,
2010100000,2010年度,3483,岩手県 岩泉町,,9336,,500,
2010100000,2010年度,3484,岩手県 田野畑村,,3261,,134,
2010100000,2010年度,3485,岩手県 普代村,,2611,,88,
2010100000,2010年度,3501,岩手県 軽米町,,8656,,313,
2010100000,2010年度,3503,岩手県 野田村,,3848,,143,
2010100000,2010年度,3506,岩手県 九戸村,,5493,,163,
2010100000,2010年度,3507,岩手県 洋野町,,14860,,575,
2010100000,2010年度,3524,岩手県 一戸町,,12082,,634,
2010100000,2010年度,4100,宮城県 仙台市,,813663,,169876,
2010100000,2010年度,4101,宮城県 仙台市 青葉区,,220111,,53764,
2010100000,2010年度,4102,宮城県 仙台市 宮城野区,,151643,,25475,
2010100000,2010年度,4103,宮城県 仙台市 若林区,,104973,,18742,
2010100000,2010年度,4104,宮城県 仙台市 太白区,,173076,,33759,
2010100000,2010年度,4105,宮城県 仙台市 泉区,,163860,,38136,
2010100000,2010年度,4202,宮城県 石巻市,,132287,,9336,
2010100000,2010年度,4203,宮城県 塩竈市,,46798,,5433,
2010100000,2010年度,4205,宮城県 気仙沼市,,61606,,3829,
2010100000,2010年度,4206,宮城県 白石市,,31031,,2909,
2010100000,2010年度,4207,宮城県 名取市,,56744,,8864,
2010100000,2010年度,4208,宮城県 角田市,,25950,,2224,
2010100000,2010年度,4209,宮城県 多賀城市,,49316,,6746,
2010100000,2010年度,4211,宮城県 岩沼市,,34790,,4936,
2010100000,2010年度,4212,宮城県 登米市,,69516,,3732,
2010100000,2010年度,4213,宮城県 栗原市,,63304,,4161,
2010100000,2010年度,4214,宮城県 東松島市,,34468,,2560,
2010100000,2010年度,4215,宮城県 大崎市,,110138,,10263,
2010100000,2010年度,4216,宮城県 富谷市,,34666,,6206,
2010100000,2010年度,4301,宮城県 蔵王町,,10698,,639,
2010100000,2010年度,4302,宮城県 七ヶ宿町,,1450,,76,
2010100000,2010年度,4321,宮城県 大河原町,,18892,,2497,
2010100000,2010年度,4322,宮城県 村田町,,9968,,606,
2010100000,2010年度,4323,宮城県 柴田町,,30663,,3463,
2010100000,2010年度,4324,宮城県 川崎町,,8390,,431,
2010100000,2010年度,4341,宮城県 丸森町,,13160,,684,
2010100000,2010年度,4361,宮城県 亘理町,,28000,,2380,
2010100000,2010年度,4362,宮城県 山元町,,14188,,1012,
2010100000,2010年度,4401,宮城県 松島町,,12823,,1247,
2010100000,2010年度,4404,宮城県 七ヶ浜町,,16270,,1258,
2010100000,2010年度,4406,宮城県 利府町,,25899,,3876,
2010100000,2010年度,4421,宮城県 大和町,,19762,,1996,
2010100000,2010年度,4422,宮城県 大郷町,,7512,,341,
2010100000,2010年度,4424,宮城県 大衡村,,4298,,227,
2010100000,2010年度,4444,宮城県 色麻町,,6103,,269,
2010100000,2010年度,4445,宮城県 加美町,,21108,,1071,
2010100000,2010年度,4501,宮城県 涌谷町,,14729,,930,
2010100000,2010年度,4505,宮城県 美里町,,20984,,1995,
2010100000,2010年度,4581,宮城県 女川町,,8623,,508,
2010100000,2010年度,4606,宮城県 南三陸町,,14526,,543,
2010100000,2010年度,5201,秋田県 秋田市,,262916,,37247,
2010100000,2010年度,5202,秋田県 能代市,,50142,,4151,
2010100000,2010年度,5203,秋田県 横手市,,83263,,6316,
2010100000,2010年度,5204,秋田県 大館市,,66439,,5213,
2010100000,2010年度,5206,秋田県 男鹿市,,28145,,1487,
2010100000,2010年度,5207,秋田県 湯沢市,,43106,,2922,
2010100000,2010年度,5209,秋田県 鹿角市,,29017,,1837,
2010100000,2010年度,5210,秋田県 由利本荘市,,70078,,5223,
2010100000,2010年度,5211,秋田県 潟上市,,28387,,1873,
2010100000,2010年度,5212,秋田県 大仙市,,74904,,5419,
2010100000,2010年度,5213,秋田県 北秋田市,,31324,,2136,
2010100000,2010年度,5214,秋田県 にかほ市,,23026,,1633,
2010100000,2010年度,5215,秋田県 仙北市,,25321,,1404,
2010100000,2010年度,5303,秋田県 小坂町,,5208,,324,
2010100000,2010年度,5327,秋田県 上小阿仁村,,2423,,85,
2010100000,2010年度,5346,秋田県 藤里町,,3377,,138,
2010100000,2010年度,5348,秋田県 三種町,,16215,,788,
2010100000,2010年度,5349,秋田県 八峰町,,7100,,291,
2010100000,2010年度,5361,秋田県 五城目町,,9197,,601,
2010100000,2010年度,5363,秋田県 八郎潟町,,5639,,403,
2010100000,2010年度,5366,秋田県 井川町,,4621,,247,
2010100000,2010年度,5368,秋田県 大潟村,,2369,,360,
2010100000,2010年度,5434,秋田県 美郷町,,18392,,977,
2010100000,2010年度,5463,秋田県 羽後町,,14291,,711,
2010100000,2010年度,5464,秋田県 東成瀬村,,2461,,68,
2010100000,2010年度,6201,山形県 山形市,,201574,,34553,
2010100000,2010年度,6202,山形県 米沢市,,70755,,7118,
2010100000,2010年度,6203,山形県 鶴岡市,,111929,,10077,
2010100000,2010年度,6204,山形県 酒田市,,92103,,9241,
2010100000,2010年度,6205,山形県 新庄市,,31556,,3147,
2010100000,2010年度,6206,山形県 寒河江市,,34452,,3767,
2010100000,2010年度,6207,山形県 上山市,,28386,,2537,
2010100000,2010年度,6208,山形県 村山市,,22348,,1993,
2010100000,2010年度,6209,山形県 長井市,,24366,,2136,
2010100000,2010年度,6210,山形県 天童市,,50323,,5587,
2010100000,2010年度,6211,山形県 東根市,,37677,,3644,
2010100000,2010年度,6212,山形県 尾花沢市,,15904,,889,
2010100000,2010年度,6213,山形県 南陽市,,27824,,2309,
2010100000,2010年度,6301,山形県 山辺町,,12378,,991,
2010100000,2010年度,6302,山形県 中山町,,9902,,838,
2010100000,2010年度,6321,山形県 河北町,,16633,,1730,
2010100000,2010年度,6322,山形県 西川町,,5338,,335,
2010100000,2010年度,6323,山形県 朝日町,,6700,,361,
2010100000,2010年度,6324,山形県 大江町,,7719,,540,
2010100000,2010年度,6341,山形県 大石田町,,6772,,474,
2010100000,2010年度,6361,山形県 金山町,,5265,,251,
2010100000,2010年度,6362,山形県 最上町,,8266,,389,
2010100000,2010年度,6363,山形県 舟形町,,5215,,261,
2010100000,2010年度,6364,山形県 真室川町,,7729,,409,
2010100000,2010年度,6365,山形県 大蔵村,,3155,,118,
2010100000,2010年度,6366,山形県 鮭川村,,4119,,183,
2010100000,2010年度,6367,山形県 戸沢村,,4527,,135,
2010100000,2010年度,6381,山形県 高畠町,,20493,,1311,
2010100000,2010年度,6382,山形県 川西町,,14570,,855,
2010100000,2010年度,6401,山形県 小国町,,7397,,514,
2010100000,2010年度,6402,山形県 白鷹町,,12759,,854,
2010100000,2010年度,6403,山形県 飯豊町,,6701,,323,
2010100000,2010年度,6426,山形県 三川町,,6414,,457,
2010100000,2010年度,6428,山形県 庄内町,,19186,,1143,
2010100000,2010年度,6461,山形県 遊佐町,,13208,,714,
2010100000,2010年度,7201,福島県 福島市,,231670,,32899,
2010100000,2010年度,7202,福島県 会津若松市,,101055,,10378,
2010100000,2010年度,7203,福島県 郡山市,,265911,,34626,
2010100000,2010年度,7204,福島県 いわき市,,276871,,28950,
2010100000,2010年度,7205,福島県 白河市,,51974,,5504,
2010100000,2010年度,7207,福島県 須賀川市,,63109,,5985,
2010100000,2010年度,7208,福島県 喜多方市,,43293,,3150,
2010100000,2010年度,7209,福島県 相馬市,,30608,,2844,
2010100000,2010年度,7210,福島県 二本松市,,48927,,3553,
2010100000,2010年度,7211,福島県 田村市,,33144,,1623,
2010100000,2010年度,7212,福島県 南相馬市,,58055,,4884,
2010100000,2010年度,7213,福島県 伊達市,,54181,,3789,
2010100000,2010年度,7214,福島県 本宮市,,25107,,2009,
2010100000,2010年度,7301,福島県 桑折町,,10630,,805,
2010100000,2010年度,7303,福島県 国見町,,8408,,549,
2010100000,2010年度,7308,福島県 川俣町,,13160,,666,
2010100000,2010年度,7322,福島県 大玉村,,6908,,335,
2010100000,2010年度,7342,福島県 鏡石町,,10128,,799,
2010100000,2010年度,7344,福島県 天栄村,,5209,,263,
2010100000,2010年度,7362,福島県 下郷町,,5444,,260,
2010100000,2010年度,7364,福島県 檜枝岐村,,549,,58,
2010100000,2010年度,7367,福島県 只見町,,4227,,282,
2010100000,2010年度,7368,福島県 南会津町,,15090,,1135,
2010100000,2010年度,7402,福島県 北塩原村,,2647,,195,
2010100000,2010年度,7405,福島県 西会津町,,6356,,330,
2010100000,2010年度,7407,福島県 磐梯町,,3134,,206,
2010100000,2010年度,7408,福島県 猪苗代町,,13083,,1058,
2010100000,2010年度,7421,福島県 会津坂下町,,14214,,1102,
2010100000,2010年度,7422,福島県 湯川村,,2693,,227,
2010100000,2010年度,7423,福島県 柳津町,,3398,,146,
2010100000,2010年度,7444,福島県 三島町,,1732,,108,
